team,year,coaches_text,name,wins,losses,total_games,order,correct_order
north-carolina-state,2016,Dave Doeren (7-6),Dave Doeren,7,6,13,1,
north-carolina-state,2015,Dave Doeren (7-6),Dave Doeren,7,6,13,1,
north-carolina-state,2014,Dave Doeren (8-5),Dave Doeren,8,5,13,1,
north-carolina-state,2013,Dave Doeren (3-9),Dave Doeren,3,9,12,1,
north-carolina-state,2012,"Tom O'Brien (7-5), Dana Bible (0-1)",Dana Bible,0,1,1,2,
north-carolina-state,2012,"Tom O'Brien (7-5), Dana Bible (0-1)",Tom O'Brien,7,5,12,1,
north-carolina-state,2011,Tom O'Brien (8-5),Tom O'Brien,8,5,13,1,
north-carolina-state,2010,Tom O'Brien (9-4),Tom O'Brien,9,4,13,1,
north-carolina-state,2009,Tom O'Brien (5-7),Tom O'Brien,5,7,12,1,
north-carolina-state,2008,Tom O'Brien (6-7),Tom O'Brien,6,7,13,1,
north-carolina-state,2007,Tom O'Brien (5-7),Tom O'Brien,5,7,12,1,
north-carolina-state,2006,Chuck Amato (3-9),Chuck Amato,3,9,12,1,
north-carolina-state,2005,Chuck Amato (7-5),Chuck Amato,7,5,12,1,
north-carolina-state,2004,Chuck Amato (5-6),Chuck Amato,5,6,11,1,
north-carolina-state,2003,Chuck Amato (8-5),Chuck Amato,8,5,13,1,
north-carolina-state,2002,Chuck Amato (11-3),Chuck Amato,11,3,14,1,
north-carolina-state,2001,Chuck Amato (7-5),Chuck Amato,7,5,12,1,
north-carolina-state,2000,Chuck Amato (8-4),Chuck Amato,8,4,12,1,
northwestern,2016,Pat Fitzgerald (7-6),Pat Fitzgerald,7,6,13,1,
northwestern,2015,Pat Fitzgerald (10-3),Pat Fitzgerald,10,3,13,1,
northwestern,2014,Pat Fitzgerald (5-7),Pat Fitzgerald,5,7,12,1,
northwestern,2013,Pat Fitzgerald (5-7),Pat Fitzgerald,5,7,12,1,
northwestern,2012,Pat Fitzgerald (10-3),Pat Fitzgerald,10,3,13,1,
northwestern,2011,Pat Fitzgerald (6-7),Pat Fitzgerald,6,7,13,1,
northwestern,2010,Pat Fitzgerald (7-6),Pat Fitzgerald,7,6,13,1,
northwestern,2009,Pat Fitzgerald (8-5),Pat Fitzgerald,8,5,13,1,
northwestern,2008,Pat Fitzgerald (9-4),Pat Fitzgerald,9,4,13,1,
northwestern,2007,Pat Fitzgerald (6-6),Pat Fitzgerald,6,6,12,1,
northwestern,2006,Pat Fitzgerald (4-8),Pat Fitzgerald,4,8,12,1,
northwestern,2005,Randy Walker (7-5),Randy Walker,7,5,12,1,
northwestern,2004,Randy Walker (6-6),Randy Walker,6,6,12,1,
northwestern,2003,Randy Walker (6-7),Randy Walker,6,7,13,1,
northwestern,2002,Randy Walker (3-9),Randy Walker,3,9,12,1,
northwestern,2001,Randy Walker (4-7),Randy Walker,4,7,11,1,
northwestern,2000,Randy Walker (8-4),Randy Walker,8,4,12,1,
notre-dame,2016,Brian Kelly (4-8),Brian Kelly,4,8,12,1,
notre-dame,2015,Brian Kelly (10-3),Brian Kelly,10,3,13,1,
notre-dame,2014,Brian Kelly (8-5),Brian Kelly,8,5,13,1,
notre-dame,2013,Brian Kelly (9-4),Brian Kelly,9,4,13,1,
notre-dame,2012,Brian Kelly (12-1),Brian Kelly,12,1,13,1,
notre-dame,2011,Brian Kelly (8-5),Brian Kelly,8,5,13,1,
notre-dame,2010,Brian Kelly (8-5),Brian Kelly,8,5,13,1,
notre-dame,2009,Charlie Weis (6-6),Charlie Weis,6,6,12,1,
notre-dame,2008,Charlie Weis (7-6),Charlie Weis,7,6,13,1,
notre-dame,2007,Charlie Weis (3-9),Charlie Weis,3,9,12,1,
notre-dame,2006,Charlie Weis (10-3),Charlie Weis,10,3,13,1,
notre-dame,2005,Charlie Weis (9-3),Charlie Weis,9,3,12,1,
notre-dame,2004,"Tyrone Willingham (6-5), Kent Baer (0-1)",Kent Baer,0,1,1,2,
notre-dame,2004,"Tyrone Willingham (6-5), Kent Baer (0-1)",Tyrone Willingham,6,5,11,1,
notre-dame,2003,Tyrone Willingham (5-7),Tyrone Willingham,5,7,12,1,
notre-dame,2002,Tyrone Willingham (10-3),Tyrone Willingham,10,3,13,1,
notre-dame,2001,Bob Davie (5-6),Bob Davie,5,6,11,1,
notre-dame,2000,Bob Davie (9-3),Bob Davie,9,3,12,1,
ohio-state,2016,Urban Meyer (11-2),Urban Meyer,11,2,13,1,
ohio-state,2015,Urban Meyer (12-1),Urban Meyer,12,1,13,1,
ohio-state,2014,Urban Meyer (14-1),Urban Meyer,14,1,15,1,
ohio-state,2013,Urban Meyer (12-2),Urban Meyer,12,2,14,1,
ohio-state,2012,Urban Meyer (12-0),Urban Meyer,12,0,12,1,
ohio-state,2011,Luke Fickell (6-7),Luke Fickell,6,7,13,1,
ohio-state,2010,Jim Tressel (12-1),Jim Tressel,12,1,13,1,
ohio-state,2009,Jim Tressel (11-2),Jim Tressel,11,2,13,1,
ohio-state,2008,Jim Tressel (10-3),Jim Tressel,10,3,13,1,
ohio-state,2007,Jim Tressel (11-2),Jim Tressel,11,2,13,1,
ohio-state,2006,Jim Tressel (12-1),Jim Tressel,12,1,13,1,
ohio-state,2005,Jim Tressel (10-2),Jim Tressel,10,2,12,1,
ohio-state,2004,Jim Tressel (8-4),Jim Tressel,8,4,12,1,
ohio-state,2003,Jim Tressel (11-2),Jim Tressel,11,2,13,1,
ohio-state,2002,Jim Tressel (14-0),Jim Tressel,14,0,14,1,
ohio-state,2001,Jim Tressel (7-5),Jim Tressel,7,5,12,1,
ohio-state,2000,John Cooper (8-4),John Cooper,8,4,12,1,
oklahoma,2016,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2015,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2014,Bob Stoops (8-5),Bob Stoops,8,5,13,1,
oklahoma,2013,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2012,Bob Stoops (10-3),Bob Stoops,10,3,13,1,
oklahoma,2011,Bob Stoops (10-3),Bob Stoops,10,3,13,1,
oklahoma,2010,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2009,Bob Stoops (8-5),Bob Stoops,8,5,13,1,
oklahoma,2008,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2007,Bob Stoops (11-3),Bob Stoops,11,3,14,1,
oklahoma,2006,Bob Stoops (11-3),Bob Stoops,11,3,14,1,
oklahoma,2005,Bob Stoops (8-4),Bob Stoops,8,4,12,1,
oklahoma,2004,Bob Stoops (12-1),Bob Stoops,12,1,13,1,
oklahoma,2003,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2002,Bob Stoops (12-2),Bob Stoops,12,2,14,1,
oklahoma,2001,Bob Stoops (11-2),Bob Stoops,11,2,13,1,
oklahoma,2000,Bob Stoops (13-0),Bob Stoops,13,0,13,1,
oklahoma-state,2016,Mike Gundy (10-3),Mike Gundy,10,3,13,1,
oklahoma-state,2015,Mike Gundy (10-3),Mike Gundy,10,3,13,1,
oklahoma-state,2014,Mike Gundy (7-6),Mike Gundy,7,6,13,1,
oklahoma-state,2013,Mike Gundy (10-3),Mike Gundy,10,3,13,1,
oklahoma-state,2012,Mike Gundy (8-5),Mike Gundy,8,5,13,1,
oklahoma-state,2011,Mike Gundy (12-1),Mike Gundy,12,1,13,1,
oklahoma-state,2010,Mike Gundy (11-2),Mike Gundy,11,2,13,1,
oklahoma-state,2009,Mike Gundy (9-4),Mike Gundy,9,4,13,1,
oklahoma-state,2008,Mike Gundy (9-4),Mike Gundy,9,4,13,1,
oklahoma-state,2007,Mike Gundy (7-6),Mike Gundy,7,6,13,1,
oklahoma-state,2006,Mike Gundy (7-6),Mike Gundy,7,6,13,1,
oklahoma-state,2005,Mike Gundy (4-7),Mike Gundy,4,7,11,1,
oklahoma-state,2004,Les Miles (7-5),Les Miles,7,5,12,1,
oklahoma-state,2003,Les Miles (9-4),Les Miles,9,4,13,1,
oklahoma-state,2002,Les Miles (8-5),Les Miles,8,5,13,1,
oklahoma-state,2001,Les Miles (4-7),Les Miles,4,7,11,1,
oklahoma-state,2000,Bob Simmons (3-8),Bob Simmons,3,8,11,1,
mississippi,2016,Hugh Freeze (5-7),Hugh Freeze,5,7,12,1,
mississippi,2015,Hugh Freeze (10-3),Hugh Freeze,10,3,13,1,
mississippi,2014,Hugh Freeze (9-4),Hugh Freeze,9,4,13,1,
mississippi,2013,Hugh Freeze (8-5),Hugh Freeze,8,5,13,1,
mississippi,2012,Hugh Freeze (7-6),Hugh Freeze,7,6,13,1,
mississippi,2011,Houston Nutt (2-10),Houston Nutt,2,10,12,1,
mississippi,2010,Houston Nutt (4-8),Houston Nutt,4,8,12,1,
mississippi,2009,Houston Nutt (9-4),Houston Nutt,9,4,13,1,
mississippi,2008,Houston Nutt (9-4),Houston Nutt,9,4,13,1,
mississippi,2007,Ed Orgeron (3-9),Ed Orgeron,3,9,12,1,
mississippi,2006,Ed Orgeron (4-8),Ed Orgeron,4,8,12,1,
mississippi,2005,Ed Orgeron (3-8),Ed Orgeron,3,8,11,1,
mississippi,2004,David Cutcliffe (4-7),David Cutcliffe,4,7,11,1,
mississippi,2003,David Cutcliffe (10-3),David Cutcliffe,10,3,13,1,
mississippi,2002,David Cutcliffe (7-6),David Cutcliffe,7,6,13,1,
mississippi,2001,David Cutcliffe (7-4),David Cutcliffe,7,4,11,1,
mississippi,2000,David Cutcliffe (7-5),David Cutcliffe,7,5,12,1,
oregon,2016,Mark Helfrich (4-8),Mark Helfrich,4,8,12,1,
oregon,2015,Mark Helfrich (9-4),Mark Helfrich,9,4,13,1,
oregon,2014,Mark Helfrich (13-2),Mark Helfrich,13,2,15,1,
oregon,2013,Mark Helfrich (11-2),Mark Helfrich,11,2,13,1,
oregon,2012,Chip Kelly (12-1),Chip Kelly,12,1,13,1,
oregon,2011,Chip Kelly (12-2),Chip Kelly,12,2,14,1,
oregon,2010,Chip Kelly (12-1),Chip Kelly,12,1,13,1,
oregon,2009,Chip Kelly (10-3),Chip Kelly,10,3,13,1,
oregon,2008,Mike Bellotti (10-3),Mike Bellotti,10,3,13,1,
oregon,2007,Mike Bellotti (9-4),Mike Bellotti,9,4,13,1,
oregon,2006,Mike Bellotti (7-6),Mike Bellotti,7,6,13,1,
oregon,2005,Mike Bellotti (10-2),Mike Bellotti,10,2,12,1,
oregon,2004,Mike Bellotti (5-6),Mike Bellotti,5,6,11,1,
oregon,2003,Mike Bellotti (8-5),Mike Bellotti,8,5,13,1,
oregon,2002,Mike Bellotti (7-6),Mike Bellotti,7,6,13,1,
oregon,2001,Mike Bellotti (11-1),Mike Bellotti,11,1,12,1,
oregon,2000,Mike Bellotti (10-2),Mike Bellotti,10,2,12,1,
oregon-state,2016,Gary Andersen (4-8),Gary Andersen,4,8,12,1,
oregon-state,2015,Gary Andersen (2-10),Gary Andersen,2,10,12,1,
oregon-state,2014,Mike Riley (5-7),Mike Riley,5,7,12,1,
oregon-state,2013,Mike Riley (7-6),Mike Riley,7,6,13,1,
oregon-state,2012,Mike Riley (9-4),Mike Riley,9,4,13,1,
oregon-state,2011,Mike Riley (3-9),Mike Riley,3,9,12,1,
oregon-state,2010,Mike Riley (5-7),Mike Riley,5,7,12,1,
oregon-state,2009,Mike Riley (8-5),Mike Riley,8,5,13,1,
oregon-state,2008,Mike Riley (9-4),Mike Riley,9,4,13,1,
oregon-state,2007,Mike Riley (9-4),Mike Riley,9,4,13,1,
oregon-state,2006,Mike Riley (10-4),Mike Riley,10,4,14,1,
oregon-state,2005,Mike Riley (5-6),Mike Riley,5,6,11,1,
oregon-state,2004,Mike Riley (7-5),Mike Riley,7,5,12,1,
oregon-state,2003,Mike Riley (8-5),Mike Riley,8,5,13,1,
oregon-state,2002,Dennis Erickson (8-5),Dennis Erickson,8,5,13,1,
oregon-state,2001,Dennis Erickson (5-6),Dennis Erickson,5,6,11,1,
oregon-state,2000,Dennis Erickson (11-1),Dennis Erickson,11,1,12,1,
penn-state,2016,James Franklin (11-3),James Franklin,11,3,14,1,
penn-state,2015,James Franklin (7-6),James Franklin,7,6,13,1,
penn-state,2014,James Franklin (7-6),James Franklin,7,6,13,1,
penn-state,2013,Bill O'Brien (7-5),Bill O'Brien,7,5,12,1,
penn-state,2012,Bill O'Brien (8-4),Bill O'Brien,8,4,12,1,
penn-state,2011,"Joe Paterno (8-1), Tom Bradley (1-3)",Tom Bradley,1,3,4,2,
penn-state,2011,"Joe Paterno (8-1), Tom Bradley (1-3)",Joe Paterno,8,1,9,1,
penn-state,2010,Joe Paterno (7-6),Joe Paterno,7,6,13,1,
penn-state,2009,Joe Paterno (11-2),Joe Paterno,11,2,13,1,
penn-state,2008,Joe Paterno (11-2),Joe Paterno,11,2,13,1,
penn-state,2007,Joe Paterno (9-4),Joe Paterno,9,4,13,1,
penn-state,2006,Joe Paterno (9-4),Joe Paterno,9,4,13,1,
penn-state,2005,Joe Paterno (11-1),Joe Paterno,11,1,12,1,
penn-state,2004,Joe Paterno (4-7),Joe Paterno,4,7,11,1,
penn-state,2003,Joe Paterno (3-9),Joe Paterno,3,9,12,1,
penn-state,2002,Joe Paterno (9-4),Joe Paterno,9,4,13,1,
penn-state,2001,Joe Paterno (5-6),Joe Paterno,5,6,11,1,
penn-state,2000,Joe Paterno (5-7),Joe Paterno,5,7,12,1,
pittsburgh,2016,Pat Narduzzi (8-5),Pat Narduzzi,8,5,13,1,
pittsburgh,2015,Pat Narduzzi (8-5),Pat Narduzzi,8,5,13,1,
pittsburgh,2014,"Joe Rudolph (0-1), Paul Chryst (6-6)",Paul Chryst,6,6,12,2,1
pittsburgh,2014,"Joe Rudolph (0-1), Paul Chryst (6-6)",Joe Rudolph,0,1,1,1,2
pittsburgh,2013,Paul Chryst (7-6),Paul Chryst,7,6,13,1,
pittsburgh,2012,Paul Chryst (6-7),Paul Chryst,6,7,13,1,
pittsburgh,2011,"Todd Graham (6-6), Keith Patterson (0-1)",Keith Patterson,0,1,1,2,
pittsburgh,2011,"Todd Graham (6-6), Keith Patterson (0-1)",Todd Graham,6,6,12,1,
pittsburgh,2010,"Dave Wannstedt (7-5), Phil Bennett (1-0)",Phil Bennett,1,0,1,2,
pittsburgh,2010,"Dave Wannstedt (7-5), Phil Bennett (1-0)",Dave Wannstedt,7,5,12,1,
pittsburgh,2009,Dave Wannstedt (10-3),Dave Wannstedt,10,3,13,1,
pittsburgh,2008,Dave Wannstedt (9-4),Dave Wannstedt,9,4,13,1,
pittsburgh,2007,Dave Wannstedt (5-7),Dave Wannstedt,5,7,12,1,
pittsburgh,2006,Dave Wannstedt (6-6),Dave Wannstedt,6,6,12,1,
pittsburgh,2005,Dave Wannstedt (5-6),Dave Wannstedt,5,6,11,1,
pittsburgh,2004,Walt Harris (8-4),Walt Harris,8,4,12,1,
pittsburgh,2003,Walt Harris (8-5),Walt Harris,8,5,13,1,
pittsburgh,2002,Walt Harris (9-4),Walt Harris,9,4,13,1,
pittsburgh,2001,Walt Harris (7-5),Walt Harris,7,5,12,1,
pittsburgh,2000,Walt Harris (7-5),Walt Harris,7,5,12,1,
purdue,2016,"Darrell Hazell (3-3), Gerad Parker (0-6)",Gerad Parker,0,6,6,2,
purdue,2016,"Darrell Hazell (3-3), Gerad Parker (0-6)",Darrell Hazell,3,3,6,1,
purdue,2015,Darrell Hazell (2-10),Darrell Hazell,2,10,12,1,
purdue,2014,Darrell Hazell (3-9),Darrell Hazell,3,9,12,1,
purdue,2013,Darrell Hazell (1-11),Darrell Hazell,1,11,12,1,
purdue,2012,"Danny Hope (6-6), Patrick Higgins (0-1)",Patrick Higgins,0,1,1,2,
purdue,2012,"Danny Hope (6-6), Patrick Higgins (0-1)",Danny Hope,6,6,12,1,
purdue,2011,Danny Hope (7-6),Danny Hope,7,6,13,1,
purdue,2010,Danny Hope (4-8),Danny Hope,4,8,12,1,
purdue,2009,Danny Hope (5-7),Danny Hope,5,7,12,1,
purdue,2008,Joe Tiller (4-8),Joe Tiller,4,8,12,1,
purdue,2007,Joe Tiller (8-5),Joe Tiller,8,5,13,1,
purdue,2006,Joe Tiller (8-6),Joe Tiller,8,6,14,1,
purdue,2005,Joe Tiller (5-6),Joe Tiller,5,6,11,1,
purdue,2004,Joe Tiller (7-5),Joe Tiller,7,5,12,1,
purdue,2003,Joe Tiller (9-4),Joe Tiller,9,4,13,1,
purdue,2002,Joe Tiller (7-6),Joe Tiller,7,6,13,1,
purdue,2001,Joe Tiller (6-6),Joe Tiller,6,6,12,1,
purdue,2000,Joe Tiller (8-4),Joe Tiller,8,4,12,1,
rutgers,2016,Chris Ash (2-10),Chris Ash,2,10,12,1,
rutgers,2015,Kyle Flood (4-8),Kyle Flood,4,8,12,1,
rutgers,2014,Kyle Flood (8-5),Kyle Flood,8,5,13,1,
rutgers,2013,Kyle Flood (6-7),Kyle Flood,6,7,13,1,
rutgers,2012,Kyle Flood (9-4),Kyle Flood,9,4,13,1,
rutgers,2011,Greg Schiano (9-4),Greg Schiano,9,4,13,1,
rutgers,2010,Greg Schiano (4-8),Greg Schiano,4,8,12,1,
rutgers,2009,Greg Schiano (9-4),Greg Schiano,9,4,13,1,
rutgers,2008,Greg Schiano (8-5),Greg Schiano,8,5,13,1,
rutgers,2007,Greg Schiano (8-5),Greg Schiano,8,5,13,1,
rutgers,2006,Greg Schiano (11-2),Greg Schiano,11,2,13,1,
rutgers,2005,Greg Schiano (7-5),Greg Schiano,7,5,12,1,
rutgers,2004,Greg Schiano (4-7),Greg Schiano,4,7,11,1,
rutgers,2003,Greg Schiano (5-7),Greg Schiano,5,7,12,1,
rutgers,2002,Greg Schiano (1-11),Greg Schiano,1,11,12,1,
rutgers,2001,Greg Schiano (2-9),Greg Schiano,2,9,11,1,
rutgers,2000,Terry Shea (3-8),Terry Shea,3,8,11,1,
south-carolina,2016,Will Muschamp (6-7),Will Muschamp,6,7,13,1,
south-carolina,2015,"Steve Spurrier (2-4), Shawn Elliott (1-5)",Shawn Elliott,1,5,6,2,
south-carolina,2015,"Steve Spurrier (2-4), Shawn Elliott (1-5)",Steve Spurrier,2,4,6,1,
south-carolina,2014,Steve Spurrier (7-6),Steve Spurrier,7,6,13,1,
south-carolina,2013,Steve Spurrier (11-2),Steve Spurrier,11,2,13,1,
south-carolina,2012,Steve Spurrier (11-2),Steve Spurrier,11,2,13,1,
south-carolina,2011,Steve Spurrier (11-2),Steve Spurrier,11,2,13,1,
south-carolina,2010,Steve Spurrier (9-5),Steve Spurrier,9,5,14,1,
south-carolina,2009,Steve Spurrier (7-6),Steve Spurrier,7,6,13,1,
south-carolina,2008,Steve Spurrier (7-6),Steve Spurrier,7,6,13,1,
south-carolina,2007,Steve Spurrier (6-6),Steve Spurrier,6,6,12,1,
south-carolina,2006,Steve Spurrier (8-5),Steve Spurrier,8,5,13,1,
south-carolina,2005,Steve Spurrier (7-5),Steve Spurrier,7,5,12,1,
south-carolina,2004,Lou Holtz (6-5),Lou Holtz,6,5,11,1,
south-carolina,2003,Lou Holtz (5-7),Lou Holtz,5,7,12,1,
south-carolina,2002,Lou Holtz (5-7),Lou Holtz,5,7,12,1,
south-carolina,2001,Lou Holtz (9-3),Lou Holtz,9,3,12,1,
south-carolina,2000,Lou Holtz (8-4),Lou Holtz,8,4,12,1,
stanford,2016,David Shaw (10-3),David Shaw,10,3,13,1,
stanford,2015,David Shaw (12-2),David Shaw,12,2,14,1,
stanford,2014,David Shaw (8-5),David Shaw,8,5,13,1,
stanford,2013,David Shaw (11-3),David Shaw,11,3,14,1,
stanford,2012,David Shaw (12-2),David Shaw,12,2,14,1,
stanford,2011,David Shaw (11-2),David Shaw,11,2,13,1,
stanford,2010,Jim Harbaugh (12-1),Jim Harbaugh,12,1,13,1,
stanford,2009,Jim Harbaugh (8-5),Jim Harbaugh,8,5,13,1,
stanford,2008,Jim Harbaugh (5-7),Jim Harbaugh,5,7,12,1,
stanford,2007,Jim Harbaugh (4-8),Jim Harbaugh,4,8,12,1,
stanford,2006,Walt Harris (1-11),Walt Harris,1,11,12,1,
stanford,2005,Walt Harris (5-6),Walt Harris,5,6,11,1,
stanford,2004,Buddy Teevens (4-7),Buddy Teevens,4,7,11,1,
stanford,2003,Buddy Teevens (4-7),Buddy Teevens,4,7,11,1,
stanford,2002,Buddy Teevens (2-9),Buddy Teevens,2,9,11,1,
stanford,2001,Tyrone Willingham (9-3),Tyrone Willingham,9,3,12,1,
stanford,2000,Tyrone Willingham (5-6),Tyrone Willingham,5,6,11,1,
syracuse,2016,Dino Babers (4-8),Dino Babers,4,8,12,1,
syracuse,2015,Scott Shafer (4-8),Scott Shafer,4,8,12,1,
syracuse,2014,Scott Shafer (3-9),Scott Shafer,3,9,12,1,
syracuse,2013,Scott Shafer (7-6),Scott Shafer,7,6,13,1,
syracuse,2012,Doug Marrone (8-5),Doug Marrone,8,5,13,1,
syracuse,2011,Doug Marrone (5-7),Doug Marrone,5,7,12,1,
syracuse,2010,Doug Marrone (8-5),Doug Marrone,8,5,13,1,
syracuse,2009,Doug Marrone (4-8),Doug Marrone,4,8,12,1,
syracuse,2008,Greg Robinson (3-9),Greg Robinson,3,9,12,1,
syracuse,2007,Greg Robinson (2-10),Greg Robinson,2,10,12,1,
syracuse,2006,Greg Robinson (4-8),Greg Robinson,4,8,12,1,
syracuse,2005,Greg Robinson (1-10),Greg Robinson,1,10,11,1,
syracuse,2004,Paul Pasqualoni (6-6),Paul Pasqualoni,6,6,12,1,
syracuse,2003,Paul Pasqualoni (6-6),Paul Pasqualoni,6,6,12,1,
syracuse,2002,Paul Pasqualoni (4-8),Paul Pasqualoni,4,8,12,1,
syracuse,2001,Paul Pasqualoni (10-3),Paul Pasqualoni,10,3,13,1,
syracuse,2000,Paul Pasqualoni (6-5),Paul Pasqualoni,6,5,11,1,
tennessee,2016,Butch Jones (9-4),Butch Jones,9,4,13,1,
tennessee,2015,Butch Jones (9-4),Butch Jones,9,4,13,1,
tennessee,2014,Butch Jones (7-6),Butch Jones,7,6,13,1,
tennessee,2013,Butch Jones (5-7),Butch Jones,5,7,12,1,
tennessee,2012,"Derek Dooley (4-7), Jim Chaney (1-0)",Jim Chaney,1,0,1,2,
tennessee,2012,"Derek Dooley (4-7), Jim Chaney (1-0)",Derek Dooley,4,7,11,1,
tennessee,2011,Derek Dooley (5-7),Derek Dooley,5,7,12,1,
tennessee,2010,Derek Dooley (6-7),Derek Dooley,6,7,13,1,
tennessee,2009,Lane Kiffin (7-6),Lane Kiffin,7,6,13,1,
