tenure.id,coach.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug
1,pottero99c,ATL,1950,1950,1,6,7,pottero99c_ATL_1950_1950
2,auerbre99c,ATL,1950,1950,28,29,57,auerbre99c_ATL_1950_1950
3,mcmilda99c,ATL,1951,1951,9,14,23,mcmilda99c_ATL_1951_1951
4,loganjo01c,ATL,1951,1951,2,1,3,loganjo01c_ATL_1951_1951
5,todormi01c,ATL,1951,1951,14,28,42,todormi01c_ATL_1951_1951
6,mooredo99c,ATL,1952,1952,17,49,66,mooredo99c_ATL_1952_1952
7,levanan01c,ATL,1953,1954,38,79,117,levanan01c_ATL_1953_1954
8,holzmre01c,ATL,1954,1957,83,120,203,holzmre01c_ATL_1954_1957
9,martisl01c,ATL,1957,1957,5,3,8,martisl01c_ATL_1957_1957
10,hannual01c,ATL,1957,1958,56,47,103,hannual01c_ATL_1957_1958
11,phillan01c,ATL,1959,1959,6,4,10,phillan01c_ATL_1959_1959
12,macaued01c,ATL,1959,1960,89,48,137,macaued01c_ATL_1959_1960
13,seymopa01c,ATL,1961,1962,56,37,93,seymopa01c_ATL_1961_1962
14,levanan01c,ATL,1962,1962,20,40,60,levanan01c_ATL_1962_1962
15,pettibo01c,ATL,1962,1962,4,2,6,pettibo01c_ATL_1962_1962
16,gallaha01c,ATL,1963,1965,111,82,193,gallaha01c_ATL_1963_1965
17,gueriri01c,ATL,1965,1972,327,291,618,gueriri01c_ATL_1965_1972
18,fitzsco99c,ATL,1973,1976,140,180,320,fitzsco99c_ATL_1973_1976
19,tormobu01c,ATL,1976,1976,1,7,8,tormobu01c_ATL_1976_1976
20,brownhu99c,ATL,1977,1981,199,208,407,brownhu99c_ATL_1977_1981
21,fratemi99c,ATL,1981,1981,0,3,3,fratemi99c_ATL_1981_1981
22,loughke01c,ATL,1982,1983,85,79,164,loughke01c_ATL_1982_1983
23,fratemi99c,ATL,1984,1990,324,250,574,fratemi99c_ATL_1984_1990
24,weissbo01c,ATL,1991,1993,124,122,246,weissbo01c_ATL_1991_1993
25,wilkele01c,ATL,1994,2000,310,232,542,wilkele01c_ATL_1994_2000
26,krugelo99c,ATL,2001,2003,69,122,191,krugelo99c_ATL_2001_2003
27,stottte99c,ATL,2003,2004,52,85,137,stottte99c_ATL_2003_2004
28,woodsmi01c,ATL,2005,2010,206,286,492,woodsmi01c_ATL_2005_2010
29,drewla01c,ATL,2011,2013,128,102,230,drewla01c_ATL_2011_2013
30,budenmi99c,ATL,2014,2018,213,197,410,budenmi99c_ATL_2014_2018
31,piercll01c,ATL,2019,2020,49,100,149,piercll01c_ATL_2019_2020
32,russejo99c,BOS,1947,1948,42,66,108,russejo99c_BOS_1947_1948
33,juliaal99c,BOS,1949,1950,47,81,128,juliaal99c_BOS_1949_1950
34,auerbre99c,BOS,1951,1966,795,397,1192,auerbre99c_BOS_1951_1966
35,russebi01c,BOS,1967,1969,162,83,245,russebi01c_BOS_1967_1969
36,heinsto01c,BOS,1970,1978,427,263,690,heinsto01c_BOS_1970_1978
37,sandeto01c,BOS,1978,1979,23,39,62,sandeto01c_BOS_1978_1979
38,cowenda01c,BOS,1979,1979,27,41,68,cowenda01c_BOS_1979_1979
39,fitchbi99c,BOS,1980,1983,242,86,328,fitchbi99c_BOS_1980_1983
40,joneskc01c,BOS,1984,1988,308,102,410,joneskc01c_BOS_1984_1988
41,rodgeji99c,BOS,1989,1990,94,70,164,rodgeji99c_BOS_1989_1990
42,fordch01c,BOS,1991,1995,222,188,410,fordch01c_BOS_1991_1995
43,carrml01c,BOS,1996,1997,48,116,164,carrml01c_BOS_1996_1997
44,pitinri99c,BOS,1998,2001,102,146,248,pitinri99c_BOS_1998_2001
45,obrieji99c,BOS,2001,2004,139,119,258,obrieji99c_BOS_2001_2004
46,carrojo99c,BOS,2004,2004,14,22,36,carrojo99c_BOS_2004_2004
47,riverdo01c,BOS,2005,2013,416,305,721,riverdo01c_BOS_2005_2013
48,stevebr99c,BOS,2014,2020,313,243,556,stevebr99c_BOS_2014_2020
49,zasloma01c,NJN,1968,1969,53,103,156,zasloma01c_NJN_1968_1969
50,laresyo01c,NJN,1970,1970,39,45,84,laresyo01c_NJN_1970_1970
51,carnelo99c,NJN,1971,1973,114,138,252,carnelo99c_NJN_1971_1973
52,loughke01c,NJN,1974,1981,297,318,615,loughke01c_NJN_1974_1981
53,mackibo99c,NJN,1981,1981,12,35,47,mackibo99c_NJN_1981_1981
54,brownla01c,NJN,1982,1983,91,67,158,brownla01c_NJN_1982_1983
55,blairbi99c,NJN,1983,1983,2,4,6,blairbi99c_NJN_1983_1983
56,albecst99c,NJN,1984,1985,87,77,164,albecst99c_NJN_1984_1985
57,wohlda01c,NJN,1986,1988,65,114,179,wohlda01c_NJN_1986_1988
58,mackibo99c,NJN,1988,1988,10,29,39,mackibo99c_NJN_1988_1988
59,reedwi01c,NJN,1988,1989,33,77,110,reedwi01c_NJN_1988_1989
60,fitchbi99c,NJN,1990,1992,83,163,246,fitchbi99c_NJN_1990_1992
61,dalych99c,NJN,1993,1994,88,76,164,dalych99c_NJN_1993_1994
62,beardbu01c,NJN,1995,1996,60,104,164,beardbu01c_NJN_1995_1996
63,calipjo99c,NJN,1997,1999,72,112,184,calipjo99c_NJN_1997_1999
64,caseybo99c,NJN,1999,2000,44,68,112,caseybo99c_NJN_1999_2000
65,scottby01c,NJN,2001,2004,149,139,288,scottby01c_NJN_2001_2004
66,frankla99c,NJN,2004,2010,225,241,466,frankla99c_NJN_2004_2010
67,barrito99c,NJN,2010,2010,0,2,2,barrito99c_NJN_2010_2010
68,vandeki01c,NJN,2010,2010,12,52,64,vandeki01c_NJN_2010_2010
69,johnsav01c,NJN,2011,2013,60,116,176,johnsav01c_NJN_2011_2013
70,carlepj99c,NJN,2013,2013,35,19,54,carlepj99c_NJN_2013_2013
71,kiddja01c,NJN,2014,2014,44,38,82,kiddja01c_NJN_2014_2014
72,hollili01c,NJN,2015,2016,48,71,119,hollili01c_NJN_2015_2016
73,brownto01c,NJN,2016,2016,11,34,45,brownto01c_NJN_2016_2016
74,atkinke01c,NJN,2017,2020,118,190,308,atkinke01c_NJN_2017_2020
75,vaughja01c,NJN,2020,2020,2,0,2,vaughja01c_NJN_2020_2020
76,bickebe99c,CHA,2005,2007,77,169,246,bickebe99c_CHA_2005_2007
77,vincesa01c,CHA,2008,2008,32,50,82,vincesa01c_CHA_2008_2008
78,brownla01c,CHA,2009,2011,88,104,192,brownla01c_CHA_2009_2011
79,silaspa01c,CHA,2011,2012,32,88,120,silaspa01c_CHA_2011_2012
80,dunlami99c,CHA,2013,2013,21,61,82,dunlami99c_CHA_2013_2013
81,cliffst99c,CHA,2014,2018,196,214,410,cliffst99c_CHA_2014_2018
82,borreja99c,CHA,2019,2020,62,85,147,borreja99c_CHA_2019_2020
83,kerrre01c,CHI,1967,1968,62,101,163,kerrre01c_CHI_1967_1968
84,mottadi99c,CHI,1969,1976,356,300,656,mottadi99c_CHI_1969_1976
85,badgeed99c,CHI,1977,1978,84,80,164,badgeed99c_CHI_1977_1978
86,costela01c,CHI,1979,1979,20,36,56,costela01c_CHI_1979_1979
87,robersc99c,CHI,1979,1979,11,15,26,robersc99c_CHI_1979_1979
88,sloanje01c,CHI,1980,1982,94,121,215,sloanje01c_CHI_1980_1982
89,johnsph99c,CHI,1982,1982,0,1,1,johnsph99c_CHI_1982_1982
90,thornro01c,CHI,1982,1982,15,15,30,thornro01c_CHI_1982_1982
91,westhpa99c,CHI,1983,1983,28,54,82,westhpa99c_CHI_1983_1983
92,loughke01c,CHI,1984,1985,65,99,164,loughke01c_CHI_1984_1985
93,albecst99c,CHI,1986,1986,30,52,82,albecst99c_CHI_1986_1986
94,collido01c,CHI,1987,1989,137,109,246,collido01c_CHI_1987_1989
95,jacksph01c,CHI,1990,1998,545,193,738,jacksph01c_CHI_1990_1998
96,floydti99c,CHI,1999,2002,49,190,239,floydti99c_CHI_1999_2002
97,berrybi99c,CHI,2002,2002,0,2,2,berrybi99c_CHI_2002_2002
98,cartwbi01c,CHI,2002,2004,51,100,151,cartwbi01c_CHI_2002_2004
99,myerspe01c,CHI,2004,2004,0,2,2,myerspe01c_CHI_2004_2004
100,skilesc01c,CHI,2004,2008,165,172,337,skilesc01c_CHI_2004_2008
101,myerspe01c,CHI,2008,2008,0,1,1,myerspe01c_CHI_2008_2008
102,boylaji99c,CHI,2008,2008,24,32,56,boylaji99c_CHI_2008_2008
103,delnevi01c,CHI,2009,2010,82,82,164,delnevi01c_CHI_2009_2010
104,thiboto99c,CHI,2011,2015,255,139,394,thiboto99c_CHI_2011_2015
105,hoibefr99c,CHI,2016,2019,115,155,270,hoibefr99c_CHI_2016_2019
106,boyleji02c,CHI,2019,2020,39,84,123,boyleji02c_CHI_2019_2020
107,fitchbi99c,CLE,1971,1979,304,434,738,fitchbi99c_CLE_1971_1979
108,albecst99c,CLE,1980,1980,37,45,82,albecst99c_CLE_1980_1980
109,mussebi99c,CLE,1981,1981,25,46,71,mussebi99c_CLE_1981_1981
110,delando99c,CLE,1981,1982,7,19,26,delando99c_CLE_1981_1982
111,kloppbo99c,CLE,1982,1982,0,3,3,kloppbo99c_CLE_1982_1982
112,dalych99c,CLE,1982,1982,9,32,41,dalych99c_CLE_1982_1982
113,mussebi99c,CLE,1982,1982,2,21,23,mussebi99c_CLE_1982_1982
114,nissato99c,CLE,1983,1984,51,113,164,nissato99c_CLE_1983_1984
115,karlge01c,CLE,1985,1986,61,88,149,karlge01c_CLE_1985_1986
116,littlge01c,CLE,1986,1986,4,11,15,littlge01c_CLE_1986_1986
117,wilkele01c,CLE,1987,1993,316,258,574,wilkele01c_CLE_1987_1993
118,fratemi99c,CLE,1994,1999,248,212,460,fratemi99c_CLE_1994_1999
119,wittmra01c,CLE,2000,2001,62,102,164,wittmra01c_CLE_2000_2001
120,lucasjo01c,CLE,2002,2003,37,87,124,lucasjo01c_CLE_2002_2003
121,smartke01c,CLE,2003,2003,9,31,40,smartke01c_CLE_2003_2003
122,silaspa01c,CLE,2004,2005,69,77,146,silaspa01c_CLE_2004_2005
123,malonbr99c,CLE,2005,2005,8,10,18,malonbr99c_CLE_2005_2005
124,brownmi99c,CLE,2006,2010,272,138,410,brownmi99c_CLE_2006_2010
125,scottby01c,CLE,2011,2013,64,166,230,scottby01c_CLE_2011_2013
126,brownmi99c,CLE,2014,2014,33,49,82,brownmi99c_CLE_2014_2014
127,blattda99c,CLE,2015,2016,83,40,123,blattda99c_CLE_2015_2016
128,luety01c,CLE,2016,2019,128,83,211,luety01c_CLE_2016_2019
129,drewla01c,CLE,2019,2019,19,57,76,drewla01c_CLE_2019_2019
130,beilejo99c,CLE,2020,2020,14,40,54,beilejo99c_CLE_2020_2020
131,bickejb01c,CLE,2020,2020,5,6,11,bickejb01c_CLE_2020_2020
132,mottadi99c,DAL,1981,1987,267,307,574,mottadi99c_DAL_1981_1987
133,maclejo99c,DAL,1988,1990,96,79,175,maclejo99c_DAL_1988_1990
134,adubari99c,DAL,1990,1993,94,170,264,adubari99c_DAL_1990_1993
135,heardga01c,DAL,1993,1993,9,44,53,heardga01c_DAL_1993_1993
136,bucknqu01c,DAL,1994,1994,13,69,82,bucknqu01c_DAL_1994_1994
137,mottadi99c,DAL,1995,1996,62,102,164,mottadi99c_DAL_1995_1996
138,cleamji01c,DAL,1997,1998,28,70,98,cleamji01c_DAL_1997_1998
139,nelsodo01c,DAL,1998,2005,339,251,590,nelsodo01c_DAL_1998_2005
140,johnsav01c,DAL,2005,2008,194,70,264,johnsav01c_DAL_2005_2008
141,carliri01c,DAL,2009,2020,510,443,953,carliri01c_DAL_2009_2020
142,bassbo99c,DEN,1968,1969,89,67,156,bassbo99c_DEN_1968_1969
143,mclenjo99c,DEN,1970,1970,9,19,28,mclenjo99c_DEN_1970_1970
144,belmojo99c,DEN,1970,1971,45,24,69,belmojo99c_DEN_1970_1971
145,albecst99c,DEN,1971,1971,27,44,71,albecst99c_DEN_1971_1971
146,hannual01c,DEN,1972,1974,118,134,252,hannual01c_DEN_1972_1974
147,brownla01c,DEN,1975,1979,251,134,385,brownla01c_DEN_1975_1979
148,walshdo99c,DEN,1979,1981,60,82,142,walshdo99c_DEN_1979_1981
149,moedo01c,DEN,1981,1990,432,357,789,moedo01c_DEN_1981_1990
150,westhpa99c,DEN,1991,1992,44,120,164,westhpa99c_DEN_1991_1992
151,isselda01c,DEN,1993,1995,96,102,198,isselda01c_DEN_1993_1995
152,littlge01c,DEN,1995,1995,3,13,16,littlge01c_DEN_1995_1995
153,bickebe99c,DEN,1995,1997,59,68,127,bickebe99c_DEN_1995_1997
154,mottadi99c,DEN,1997,1997,17,52,69,mottadi99c_DEN_1997_1997
155,hanzlbi01c,DEN,1998,1998,11,71,82,hanzlbi01c_DEN_1998_1998
156,dantomi01c,DEN,1999,1999,14,36,50,dantomi01c_DEN_1999_1999
157,isselda01c,DEN,2000,2002,84,106,190,isselda01c_DEN_2000_2002
158,evansmi01c,DEN,2002,2002,18,38,56,evansmi01c_DEN_2002_2002
159,bzdelje99c,DEN,2003,2005,73,119,192,bzdelje99c_DEN_2003_2005
160,coopemi01c,DEN,2005,2005,4,10,14,coopemi01c_DEN_2005_2005
161,karlge01c,DEN,2005,2013,423,257,680,karlge01c_DEN_2005_2013
162,shawbr01c,DEN,2014,2015,56,85,141,shawbr01c_DEN_2014_2015
163,huntme01c,DEN,2015,2015,10,13,23,huntme01c_DEN_2015_2015
164,malonmi99c,DEN,2016,2020,216,177,393,malonmi99c_DEN_2016_2020
165,benneca99c,DET,1949,1949,0,6,6,benneca99c_DET_1949_1949
166,armstcu01c,DET,1949,1949,22,32,54,armstcu01c_DET_1949_1949
167,mendemu99c,DET,1950,1951,72,64,136,mendemu99c_DET_1950_1951
168,birchpa99c,DET,1952,1954,105,102,207,birchpa99c_DET_1952_1954
169,eckmach99c,DET,1955,1958,123,118,241,eckmach99c_DET_1955_1958
170,rochare01c,DET,1958,1960,65,88,153,rochare01c_DET_1958_1960
171,mcguidi01c,DET,1960,1963,122,158,280,mcguidi01c_DET_1960_1963
172,wolfch99c,DET,1964,1965,25,66,91,wolfch99c_DET_1964_1965
173,debusda01c,DET,1965,1967,79,143,222,debusda01c_DET_1965_1967
174,butchdo01c,DET,1967,1969,52,60,112,butchdo01c_DET_1967_1969
175,seymopa01c,DET,1969,1969,22,38,60,seymopa01c_DET_1969_1969
176,vanbrbu01c,DET,1970,1972,82,92,174,vanbrbu01c_DET_1970_1972
177,dischte01c,DET,1972,1972,0,2,2,dischte01c_DET_1972_1972
178,lloydea01c,DET,1972,1973,22,55,77,lloydea01c_DET_1972_1973
179,scottra01c,DET,1973,1976,147,134,281,scottra01c_DET_1973_1976
180,brownhe99c,DET,1976,1978,72,74,146,brownhe99c_DET_1976_1978
181,kauffbo01c,DET,1978,1978,29,29,58,kauffbo01c_DET_1978_1978
182,vitaldi99c,DET,1979,1980,34,60,94,vitaldi99c_DET_1979_1980
183,adubari99c,DET,1980,1980,12,58,70,adubari99c_DET_1980_1980
184,robersc99c,DET,1981,1983,97,149,246,robersc99c_DET_1981_1983
185,dalych99c,DET,1984,1992,467,271,738,dalych99c_DET_1984_1992
186,rothsro99c,DET,1993,1993,40,42,82,rothsro99c_DET_1993_1993
187,chanedo01c,DET,1994,1995,48,116,164,chanedo01c_DET_1994_1995
188,collido01c,DET,1996,1998,121,88,209,collido01c_DET_1996_1998
189,gentral99c,DET,1998,2000,73,72,145,gentral99c_DET_1998_2000
190,irvinge01c,DET,2000,2001,46,60,106,irvinge01c_DET_2000_2001
191,carliri01c,DET,2002,2003,100,64,164,carliri01c_DET_2002_2003
192,brownla01c,DET,2004,2005,108,56,164,brownla01c_DET_2004_2005
193,saundfl99c,DET,2006,2008,176,70,246,saundfl99c_DET_2006_2008
194,currymi01c,DET,2009,2009,39,43,82,currymi01c_DET_2009_2009
195,kuestjo01c,DET,2010,2011,57,107,164,kuestjo01c_DET_2010_2011
196,frankla99c,DET,2012,2013,54,94,148,frankla99c_DET_2012_2013
197,cheekma01c,DET,2014,2014,21,29,50,cheekma01c_DET_2014_2014
198,loyerjo99c,DET,2014,2014,8,24,32,loyerjo99c_DET_2014_2014
199,vangust99c,DET,2015,2018,152,176,328,vangust99c_DET_2015_2018
200,caseydw99c,DET,2019,2020,61,87,148,caseydw99c_DET_2019_2020
201,gottled99c,GSW,1947,1955,263,318,581,gottled99c_GSW_1947_1955
202,senesge01c,GSW,1956,1958,119,97,216,senesge01c_GSW_1956_1958
203,cervial01c,GSW,1959,1959,32,40,72,cervial01c_GSW_1959_1959
204,johnsne01c,GSW,1960,1961,95,59,154,johnsne01c_GSW_1960_1961
205,mcguifr99c,GSW,1962,1962,49,31,80,mcguifr99c_GSW_1962_1962
206,feeribo01c,GSW,1963,1963,31,49,80,feeribo01c_GSW_1963_1963
207,hannual01c,GSW,1964,1966,100,140,240,hannual01c_GSW_1964_1966
208,sharmbi01c,GSW,1967,1968,87,76,163,sharmbi01c_GSW_1967_1968
209,leege01c,GSW,1969,1970,63,71,134,leege01c_GSW_1969_1970
210,attleal01c,GSW,1970,1980,443,386,829,attleal01c_GSW_1970_1980
211,bachjo01c,GSW,1980,1980,6,15,21,bachjo01c_GSW_1980_1980
212,attleal01c,GSW,1981,1983,114,132,246,attleal01c_GSW_1981_1983
213,bachjo01c,GSW,1984,1986,89,157,246,bachjo01c_GSW_1984_1986
214,karlge01c,GSW,1987,1988,58,88,146,karlge01c_GSW_1987_1988
215,gregoed99c,GSW,1988,1988,4,14,18,gregoed99c_GSW_1988_1988
216,nelsodo01c,GSW,1989,1995,277,260,537,nelsodo01c_GSW_1989_1995
217,laniebo01c,GSW,1995,1995,12,25,37,laniebo01c_GSW_1995_1995
218,adelmri01c,GSW,1996,1997,66,98,164,adelmri01c_GSW_1996_1997
219,carlepj99c,GSW,1998,2000,46,113,159,carlepj99c_GSW_1998_2000
220,stjeaga99c,GSW,2000,2000,13,42,55,stjeaga99c_GSW_2000_2000
221,cowenda01c,GSW,2001,2002,25,80,105,cowenda01c_GSW_2001_2002
222,wintebr01c,GSW,2002,2002,13,46,59,wintebr01c_GSW_2002_2002
223,musseer99c,GSW,2003,2004,75,89,164,musseer99c_GSW_2003_2004
224,montgmi99c,GSW,2005,2006,68,96,164,montgmi99c_GSW_2005_2006
225,nelsodo01c,GSW,2007,2010,145,183,328,nelsodo01c_GSW_2007_2010
226,smartke01c,GSW,2011,2011,36,46,82,smartke01c_GSW_2011_2011
227,jacksma01c,GSW,2012,2014,121,109,230,jacksma01c_GSW_2012_2014
228,kerrst01c,GSW,2015,2020,337,138,475,kerrst01c_GSW_2015_2020
229,mcmahja01c,HOU,1968,1970,61,129,190,mcmahja01c_HOU_1968_1970
230,hannual01c,HOU,1970,1971,58,80,138,hannual01c_HOU_1970_1971
231,wintete99c,HOU,1972,1973,51,78,129,wintete99c_HOU_1972_1973
232,eganjo01c,HOU,1973,1976,129,152,281,eganjo01c_HOU_1973_1976
233,nissato99c,HOU,1977,1979,124,122,246,nissato99c_HOU_1977_1979
234,harride99c,HOU,1980,1983,141,187,328,harride99c_HOU_1980_1983
235,fitchbi99c,HOU,1984,1988,216,194,410,fitchbi99c_HOU_1984_1988
236,chanedo01c,HOU,1989,1992,164,134,298,chanedo01c_HOU_1989_1992
237,tomjaru01c,HOU,1992,2003,503,397,900,tomjaru01c_HOU_1992_2003
238,vanguje99c,HOU,2004,2007,182,146,328,vanguje99c_HOU_2004_2007
239,adelmri01c,HOU,2008,2011,193,135,328,adelmri01c_HOU_2008_2011
240,mchalke01c,HOU,2012,2016,193,130,323,mchalke01c_HOU_2012_2016
241,bickejb01c,HOU,2016,2016,37,34,71,bickejb01c_HOU_2016_2016
242,dantomi01c,HOU,2017,2020,213,97,310,dantomi01c_HOU_2017_2020
243,stavela01c,IND,1968,1969,40,47,87,stavela01c_IND_1968_1969
244,leonasl01c,IND,1969,1980,529,456,985,leonasl01c_IND_1969_1980
245,mckinja99c,IND,1981,1984,125,203,328,mckinja99c_IND_1981_1984
246,irvinge01c,IND,1985,1986,48,116,164,irvinge01c_IND_1985_1986
247,ramsaja99c,IND,1987,1989,79,92,171,ramsaja99c_IND_1987_1989
248,danieme01c,IND,1989,1989,0,2,2,danieme01c_IND_1989_1989
249,irvinge01c,IND,1989,1989,6,14,20,irvinge01c_IND_1989_1989
250,versadi99c,IND,1989,1991,73,87,160,versadi99c_IND_1989_1991
251,hillbo99c,IND,1991,1993,113,108,221,hillbo99c_IND_1991_1993
252,brownla01c,IND,1994,1997,190,138,328,brownla01c_IND_1994_1997
253,birdla01c,IND,1998,2000,147,67,214,birdla01c_IND_1998_2000
254,thomais01c,IND,2001,2003,131,115,246,thomais01c_IND_2001_2003
255,carliri01c,IND,2004,2007,181,147,328,carliri01c_IND_2004_2007
256,obrieji99c,IND,2008,2011,121,169,290,obrieji99c_IND_2008_2011
257,vogelfr99c,IND,2011,2016,250,181,431,vogelfr99c_IND_2011_2016
258,mcmilna01c,IND,2017,2020,177,134,311,mcmilna01c_IND_2017_2020
259,schaydo01c,LAC,1971,1972,22,61,83,schaydo01c_LAC_1971_1972
260,mccarjo01c,LAC,1972,1972,22,59,81,mccarjo01c_LAC_1972_1972
261,ramsaja99c,LAC,1973,1976,158,170,328,ramsaja99c_LAC_1973_1976
262,locketa99c,LAC,1977,1977,16,30,46,locketa99c_LAC_1977_1977
263,mackibo99c,LAC,1977,1977,3,4,7,mackibo99c_LAC_1977_1977
264,mullajo01c,LAC,1977,1977,11,18,29,mullajo01c_LAC_1977_1977
265,fitzsco99c,LAC,1978,1978,27,55,82,fitzsco99c_LAC_1978_1978
266,shuege01c,LAC,1979,1980,78,86,164,shuege01c_LAC_1979_1980
267,silaspa01c,LAC,1981,1983,78,168,246,silaspa01c_LAC_1981_1983
268,lynamji99c,LAC,1984,1985,52,91,143,lynamji99c_LAC_1984_1985
269,chanedo01c,LAC,1985,1987,53,132,185,chanedo01c_LAC_1985_1987
270,shuege01c,LAC,1988,1989,27,93,120,shuege01c_LAC_1988_1989
271,caseybo99c,LAC,1989,1990,41,85,126,caseybo99c_LAC_1989_1990
272,schulmi99c,LAC,1991,1992,52,75,127,schulmi99c_LAC_1991_1992
273,calvima01c,LAC,1992,1992,1,1,2,calvima01c_LAC_1992_1992
274,brownla01c,LAC,1992,1993,64,53,117,brownla01c_LAC_1992_1993
275,weissbo01c,LAC,1994,1994,27,55,82,weissbo01c_LAC_1994_1994
276,fitchbi99c,LAC,1995,1998,99,229,328,fitchbi99c_LAC_1995_1998
277,fordch01c,LAC,1999,2000,20,75,95,fordch01c_LAC_1999_2000
278,toddji99c,LAC,2000,2000,4,33,37,toddji99c_LAC_2000_2000
279,gentral99c,LAC,2001,2003,89,133,222,gentral99c_LAC_2001_2003
280,johnsde01c,LAC,2003,2003,8,16,24,johnsde01c_LAC_2003_2003
281,dunlemi01c,LAC,2004,2010,215,326,541,dunlemi01c_LAC_2004_2010
282,hugheki01c,LAC,2010,2010,8,25,33,hugheki01c_LAC_2010_2010
283,delnevi01c,LAC,2011,2013,128,102,230,delnevi01c_LAC_2011_2013
284,riverdo01c,LAC,2014,2020,351,205,556,riverdo01c_LAC_2014_2020
285,kundljo99c,LAL,1949,1957,380,240,620,kundljo99c_LAL_1949_1957
286,mikange01c,LAL,1958,1958,9,30,39,mikange01c_LAL_1958_1958
287,kundljo99c,LAL,1958,1959,43,62,105,kundljo99c_LAL_1958_1959
288,castejo99c,LAL,1960,1960,11,25,36,castejo99c_LAL_1960_1960
289,pollaji01c,LAL,1960,1960,14,25,39,pollaji01c_LAL_1960_1960
290,schaufr01c,LAL,1961,1967,315,245,560,schaufr01c_LAL_1961_1967
291,vanbrbu01c,LAL,1968,1969,107,57,164,vanbrbu01c_LAL_1968_1969
292,mullajo01c,LAL,1970,1971,94,70,164,mullajo01c_LAL_1970_1971
293,sharmbi01c,LAL,1972,1976,246,164,410,sharmbi01c_LAL_1972_1976
294,westje01c,LAL,1977,1979,145,101,246,westje01c_LAL_1977_1979
295,mckinja99c,LAL,1980,1980,10,4,14,mckinja99c_LAL_1980_1980
296,westhpa99c,LAL,1980,1982,111,50,161,westhpa99c_LAL_1980_1982
297,rileypa01c,LAL,1982,1990,533,194,727,rileypa01c_LAL_1982_1990
298,dunlemi01c,LAL,1991,1992,101,63,164,dunlemi01c_LAL_1991_1992
299,pfundra99c,LAL,1993,1994,66,80,146,pfundra99c_LAL_1993_1994
300,bertkbi99c,LAL,1994,1994,1,1,2,bertkbi99c_LAL_1994_1994
