slug,coach,franchise,seasons,games,wins,losses,min_year,max_year,left_censor
kruger|01|03|ATL,L. Kruger,ATL,3,190,69,121,2001,2003,True
stotts|03|04|ATL,T. Stotts,ATL,2,137,52,85,2003,2004,False
woodson|05|10|ATL,M. Woodson,ATL,6,492,206,286,2005,2010,False
drew|11|13|ATL,L. Drew,ATL,3,230,128,102,2011,2013,False
budenholzer|14|16|ATL,M. Budenholzer,ATL,3,246,146,100,2014,2016,False
pitino|01|01|BOS,R. Pitino,BOS,1,34,12,22,2001,2001,True
o'brien|01|04|BOS,J. O'Brien,BOS,4,258,139,119,2001,2004,False
carroll|04|04|BOS,J. Carroll,BOS,1,36,14,22,2004,2004,False
rivers|05|13|BOS,D. Rivers,BOS,9,721,416,305,2005,2013,False
stevens|14|16|BOS,B. Stevens,BOS,3,246,113,133,2014,2016,False
bickerstaff|05|07|CHARBH,B. Bickerstaff,CHARBH,3,246,77,169,2005,2007,False
vincent|08|08|CHARBH,S. Vincent,CHARBH,1,82,32,50,2008,2008,False
brown|09|11|CHARBH,L. Brown,CHARBH,3,192,88,104,2009,2011,False
silas|11|12|CHARBH,P. Silas,CHARBH,2,120,32,88,2011,2012,False
dunlap|13|13|CHARBH,M. Dunlap,CHARBH,1,82,21,61,2013,2013,False
clifford|14|16|CHARBH,S. Clifford,CHARBH,3,246,124,122,2014,2016,False
floyd|01|02|CHI,T. Floyd,CHI,2,107,19,88,2001,2002,True
berry|02|02|CHI,B. Berry,CHI,1,2,0,2,2002,2002,False
cartwright|02|04|CHI,B. Cartwright,CHI,3,151,51,100,2002,2004,False
myers|04|04|CHI,P. Myers,CHI,1,2,0,2,2004,2004,False
skiles|04|08|CHI,S. Skiles,CHI,5,337,165,172,2004,2008,False
myers|08|08|CHI,P. Myers,CHI,1,1,0,1,2008,2008,False
boylan|08|08|CHI,J. Boylan,CHI,1,56,24,32,2008,2008,False
negro|09|10|CHI,V. Del Negro,CHI,2,164,82,82,2009,2010,False
thibodeau|11|15|CHI,T. Thibodeau,CHI,5,394,255,139,2011,2015,False
hoiberg|16|16|CHI,F. Hoiberg,CHI,1,82,42,40,2016,2016,False
wittman|01|01|CLE,R. Wittman,CLE,1,82,30,52,2001,2001,True
lucas|02|03|CLE,J. Lucas,CLE,2,124,37,87,2002,2003,False
smart|03|03|CLE,K. Smart,CLE,1,40,9,31,2003,2003,False
silas|04|05|CLE,P. Silas,CLE,2,146,69,77,2004,2005,False
malone|05|05|CLE,B. Malone,CLE,1,18,8,10,2005,2005,False
brown|06|10|CLE,M. Brown,CLE,5,410,272,138,2006,2010,False
scott|11|13|CLE,B. Scott,CLE,3,230,64,166,2011,2013,False
brown|14|14|CLE,M. Brown,CLE,1,82,33,49,2014,2014,False
blatt|15|16|CLE,D. Blatt,CLE,2,123,83,40,2015,2016,False
lue|16|16|CLE,T. Lue,CLE,1,41,27,14,2016,2016,False
nelson|01|05|DAL,D. Nelson,DAL,5,392,264,128,2001,2005,True
johnson|05|08|DAL,A. Johnson,DAL,4,264,194,70,2005,2008,False
carlisle|09|16|DAL,R. Carlisle,DAL,8,640,380,260,2009,2016,False
issel|01|02|DEN,D. Issel,DEN,2,108,49,59,2001,2002,True
evans|02|02|DEN,M. Evans,DEN,1,56,18,38,2002,2002,False
bzdelik|03|05|DEN,J. Bzdelik,DEN,3,192,73,119,2003,2005,False
cooper|05|05|DEN,M. Cooper,DEN,1,14,4,10,2005,2005,False
karl|05|13|DEN,G. Karl,DEN,9,680,423,257,2005,2013,False
shaw|14|15|DEN,B. Shaw,DEN,2,141,56,85,2014,2015,False
hunt|15|15|DEN,M. Hunt,DEN,1,23,10,13,2015,2015,False
malone|16|16|DEN,M. Malone,DEN,1,82,33,49,2016,2016,False
irvine|01|01|DET,G. Irvine,DET,1,82,32,50,2001,2001,True
carlisle|02|03|DET,R. Carlisle,DET,2,164,100,64,2002,2003,False
brown|04|05|DET,L. Brown,DET,2,164,108,56,2004,2005,False
saunders|06|08|DET,F. Saunders,DET,3,246,176,70,2006,2008,False
curry|09|09|DET,M. Curry,DET,1,82,39,43,2009,2009,False
kuester|10|11|DET,J. Kuester,DET,2,164,57,107,2010,2011,False
frank|12|13|DET,L. Frank,DET,2,148,54,94,2012,2013,False
cheeks|14|14|DET,M. Cheeks,DET,1,50,21,29,2014,2014,False
loyer|14|14|DET,J. Loyer,DET,1,32,8,24,2014,2014,False
gundy|15|16|DET,S. Van Gundy,DET,2,164,76,88,2015,2016,False
cowens|01|02|GSW,D. Cowens,GSW,2,105,25,80,2001,2002,True
winters|02|02|GSW,B. Winters,GSW,1,59,13,46,2002,2002,False
musselman|03|04|GSW,E. Musselman,GSW,2,164,75,89,2003,2004,False
montgomery|05|06|GSW,M. Montgomery,GSW,2,164,68,96,2005,2006,False
nelson|07|10|GSW,D. Nelson,GSW,4,328,145,183,2007,2010,False
smart|11|11|GSW,K. Smart,GSW,1,82,36,46,2011,2011,False
jackson|12|14|GSW,M. Jackson,GSW,3,230,121,109,2012,2014,False
kerr|15|16|GSW,S. Kerr,GSW,2,164,140,24,2015,2016,False
tomjanovich|01|03|HOU,R. Tomjanovich,HOU,3,246,116,130,2001,2003,True
gundy|04|07|HOU,J. Van Gundy,HOU,4,328,182,146,2004,2007,False
adelman|08|11|HOU,R. Adelman,HOU,4,328,193,135,2008,2011,False
mchale|12|16|HOU,K. McHale,HOU,5,323,193,130,2012,2016,False
bickerstaff|16|16|HOU,J. Bickerstaff,HOU,1,71,37,34,2016,2016,False
thomas|01|03|IND,I. Thomas,IND,3,246,131,115,2001,2003,True
carlisle|04|07|IND,R. Carlisle,IND,4,328,181,147,2004,2007,False
o'brien|08|11|IND,J. O'Brien,IND,4,290,121,169,2008,2011,False
vogel|11|16|IND,F. Vogel,IND,6,431,250,181,2011,2016,False
gentry|01|03|LAC,A. Gentry,LAC,3,222,89,133,2001,2003,True
johnson|03|03|LAC,D. Johnson,LAC,1,24,8,16,2003,2003,False
dunleavy|04|10|LAC,M. Dunleavy,LAC,7,541,215,326,2004,2010,False
hughes|10|10|LAC,K. Hughes,LAC,1,33,8,25,2010,2010,False
negro|11|13|LAC,V. Del Negro,LAC,3,230,128,102,2011,2013,False
rivers|14|16|LAC,D. Rivers,LAC,3,246,166,80,2014,2016,False
jackson|01|04|LAL,P. Jackson,LAL,4,328,220,108,2001,2004,True
tomjanovich|05|05|LAL,R. Tomjanovich,LAL,1,43,24,19,2005,2005,False
hamblen|05|05|LAL,F. Hamblen,LAL,1,39,10,29,2005,2005,False
jackson|06|11|LAL,P. Jackson,LAL,6,492,323,169,2006,2011,False
brown|12|13|LAL,M. Brown,LAL,2,71,42,29,2012,2013,False
bickerstaff|13|13|LAL,B. Bickerstaff,LAL,1,5,4,1,2013,2013,False
d'antoni|13|14|LAL,M. D'Antoni,LAL,2,154,67,87,2013,2014,False
scott|15|16|LAL,B. Scott,LAL,2,164,38,126,2015,2016,False
riley|01|03|MIA,P. Riley,MIA,3,246,111,135,2001,2003,True
gundy|04|06|MIA,S. Van Gundy,MIA,3,185,112,73,2004,2006,False
riley|06|08|MIA,P. Riley,MIA,3,225,100,125,2006,2008,False
spoelstra|09|16|MIA,E. Spoelstra,MIA,8,640,399,241,2009,2016,False
karl|01|03|MIL,G. Karl,MIL,3,246,135,111,2001,2003,True
porter|04|05|MIL,T. Porter,MIL,2,164,71,93,2004,2005,False
stotts|06|07|MIL,T. Stotts,MIL,2,146,63,83,2006,2007,False
krystkowiak|07|08|MIL,L. Krystkowiak,MIL,2,100,31,69,2007,2008,False
skiles|09|13|MIL,S. Skiles,MIL,5,344,162,182,2009,2013,False
boylan|13|13|MIL,J. Boylan,MIL,1,50,22,28,2013,2013,False
drew|14|14|MIL,L. Drew,MIL,1,82,15,67,2014,2014,False
kidd|15|16|MIL,J. Kidd,MIL,2,164,74,90,2015,2016,False
saunders|01|05|MIN,F. Saunders,MIN,5,379,231,148,2001,2005,True
mchale|05|05|MIN,K. McHale,MIN,1,31,19,12,2005,2005,False
casey|06|07|MIN,D. Casey,MIN,2,122,53,69,2006,2007,False
wittman|07|09|MIN,R. Wittman,MIN,3,143,38,105,2007,2009,False
mchale|09|09|MIN,K. McHale,MIN,1,63,20,43,2009,2009,False
rambis|10|11|MIN,K. Rambis,MIN,2,164,32,132,2010,2011,False
adelman|12|14|MIN,R. Adelman,MIN,3,230,97,133,2012,2014,False
saunders|15|15|MIN,F. Saunders,MIN,1,82,16,66,2015,2015,False
mitchell|16|16|MIN,S. Mitchell,MIN,1,82,29,53,2016,2016,False
scott|01|04|NJNBRK,B. Scott,NJNBRK,4,288,149,139,2001,2004,True
frank|04|10|NJNBRK,L. Frank,NJNBRK,7,466,225,241,2004,2010,False
barrise|10|10|NJNBRK,T. Barrise,NJNBRK,1,2,0,2,2010,2010,False
vandeweghe|10|10|NJNBRK,K. Vandeweghe,NJNBRK,1,64,12,52,2010,2010,False
johnson|11|13|NJNBRK,A. Johnson,NJNBRK,3,176,60,116,2011,2013,False
carlesimo|13|13|NJNBRK,P. Carlesimo,NJNBRK,1,54,35,19,2013,2013,False
kidd|14|14|NJNBRK,J. Kidd,NJNBRK,1,82,44,38,2014,2014,False
hollins|15|16|NJNBRK,L. Hollins,NJNBRK,2,119,48,71,2015,2016,False
brown|16|16|NJNBRK,T. Brown,NJNBRK,1,45,11,34,2016,2016,False
silas|01|03|NORLHP,P. Silas,NORLHP,3,246,137,109,2001,2003,True
floyd|04|04|NORLHP,T. Floyd,NORLHP,1,82,41,41,2004,2004,False
scott|05|10|NORLHP,B. Scott,NORLHP,6,419,203,216,2005,2010,False
bower|10|10|NORLHP,J. Bower,NORLHP,1,73,34,39,2010,2010,False
williams|11|15|NORLHP,M. Williams,NORLHP,5,394,173,221,2011,2015,False
gentry|16|16|NORLHP,A. Gentry,NORLHP,1,82,30,52,2016,2016,False
gundy|01|02|NYK,J. Van Gundy,NYK,2,101,58,43,2001,2002,True
chaney|02|04|NYK,D. Chaney,NYK,3,184,72,112,2002,2004,False
williams|04|04|NYK,H. Williams,NYK,1,1,1,0,2004,2004,False
wilkens|04|05|NYK,L. Wilkens,NYK,2,81,40,41,2004,2005,False
williams|05|05|NYK,H. Williams,NYK,1,43,16,27,2005,2005,False
brown|06|06|NYK,L. Brown,NYK,1,82,23,59,2006,2006,False
thomas|07|08|NYK,I. Thomas,NYK,2,164,56,108,2007,2008,False
d'antoni|09|12|NYK,M. D'Antoni,NYK,4,288,121,167,2009,2012,False
woodson|12|14|NYK,M. Woodson,NYK,3,188,109,79,2012,2014,False
fisher|15|16|NYK,D. Fisher,NYK,2,136,40,96,2015,2016,False
rambis|16|16|NYK,K. Rambis,NYK,1,28,9,19,2016,2016,False
rivers|01|04|ORL,D. Rivers,ORL,4,257,130,127,2001,2004,True
davis|04|05|ORL,J. Davis,ORL,2,135,51,84,2004,2005,False
jent|05|05|ORL,C. Jent,ORL,1,18,5,13,2005,2005,False
hill|06|07|ORL,B. Hill,ORL,2,164,76,88,2006,2007,False
gundy|08|12|ORL,S. Van Gundy,ORL,5,394,259,135,2008,2012,False
vaughn|13|15|ORL,J. Vaughn,ORL,3,216,58,158,2013,2015,False
borrego|15|15|ORL,J. Borrego,ORL,1,30,10,20,2015,2015,False
skiles|16|16|ORL,S. Skiles,ORL,1,82,35,47,2016,2016,False
brown|01|03|PHI,L. Brown,PHI,3,246,147,99,2001,2003,True
ayers|04|04|PHI,R. Ayers,PHI,1,52,21,31,2004,2004,False
ford|04|04|PHI,C. Ford,PHI,1,30,12,18,2004,2004,False
o'brien|05|05|PHI,J. O'Brien,PHI,1,82,43,39,2005,2005,False
cheeks|06|09|PHI,M. Cheeks,PHI,4,269,122,147,2006,2009,False
dileo|09|09|PHI,T. DiLeo,PHI,1,59,32,27,2009,2009,False
jordan|10|10|PHI,E. Jordan,PHI,1,82,27,55,2010,2010,False
collins|11|13|PHI,D. Collins,PHI,3,230,110,120,2011,2013,False
brown|14|16|PHI,B. Brown,PHI,3,246,47,199,2014,2016,False
skiles|01|02|PHO,S. Skiles,PHO,2,133,76,57,2001,2002,True
johnson|02|04|PHO,F. Johnson,PHO,3,134,63,71,2002,2004,False
d'antoni|04|08|PHO,M. D'Antoni,PHO,5,389,253,136,2004,2008,False
porter|09|09|PHO,T. Porter,PHO,1,51,28,23,2009,2009,False
gentry|09|13|PHO,A. Gentry,PHO,5,302,158,144,2009,2013,False
hunter|13|13|PHO,L. Hunter,PHO,1,41,12,29,2013,2013,False
hornacek|14|16|PHO,J. Hornacek,PHO,3,213,101,112,2014,2016,False
watson|16|16|PHO,E. Watson,PHO,1,33,9,24,2016,2016,False
dunleavy|01|01|POR,M. Dunleavy,POR,1,82,50,32,2001,2001,True
cheeks|02|05|POR,M. Cheeks,POR,4,301,162,139,2002,2005,False
pritchard|05|05|POR,K. Pritchard,POR,1,27,5,22,2005,2005,False
mcmillan|06|12|POR,N. McMillan,POR,7,535,266,269,2006,2012,False
canales|12|12|POR,K. Canales,POR,1,23,8,15,2012,2012,False
stotts|13|16|POR,T. Stotts,POR,4,328,182,146,2013,2016,False
adelman|01|06|SAC,R. Adelman,SAC,6,492,324,168,2001,2006,True
musselman|07|07|SAC,E. Musselman,SAC,1,82,33,49,2007,2007,False
theus|08|09|SAC,R. Theus,SAC,2,106,44,62,2008,2009,False
natt|09|09|SAC,K. Natt,SAC,1,58,11,47,2009,2009,False
westphal|10|12|SAC,P. Westphal,SAC,3,171,51,120,2010,2012,False
smart|12|13|SAC,K. Smart,SAC,2,141,48,93,2012,2013,False
malone|14|15|SAC,M. Malone,SAC,2,106,39,67,2014,2015,False
corbin|15|15|SAC,T. Corbin,SAC,1,28,7,21,2015,2015,False
karl|15|16|SAC,G. Karl,SAC,2,112,44,68,2015,2016,False
popovich|01|16|SAS,G. Popovich,SAS,16,1296,926,370,2001,2016,True
westphal|01|01|SEAOKC,P. Westphal,SEAOKC,1,15,6,9,2001,2001,True
mcmillan|01|05|SEAOKC,N. McMillan,SEAOKC,5,395,212,183,2001,2005,False
weiss|06|06|SEAOKC,B. Weiss,SEAOKC,1,30,13,17,2006,2006,False
hill|06|07|SEAOKC,B. Hill,SEAOKC,2,134,53,81,2006,2007,False
carlesimo|08|09|SEAOKC,P. Carlesimo,SEAOKC,2,95,21,74,2008,2009,False
brooks|09|15|SEAOKC,S. Brooks,SEAOKC,7,545,338,207,2009,2015,False
donovan|16|16|SEAOKC,B. Donovan,SEAOKC,1,82,55,27,2016,2016,False
wilkens|01|03|TOR,L. Wilkens,TOR,3,246,113,133,2001,2003,True
o'neill|04|04|TOR,K. O'Neill,TOR,1,82,33,49,2004,2004,False
mitchell|05|09|TOR,S. Mitchell,TOR,5,345,156,189,2005,2009,False
triano|09|11|TOR,J. Triano,TOR,3,229,87,142,2009,2011,False
casey|12|16|TOR,D. Casey,TOR,5,394,210,184,2012,2016,False
sloan|01|11|UTA,J. Sloan,UTA,11,874,490,384,2001,2011,True
corbin|11|14|UTA,T. Corbin,UTA,4,258,112,146,2011,2014,False
snyder|15|16|UTA,Q. Snyder,UTA,2,164,78,86,2015,2016,False
lowe|01|03|VANMEM,S. Lowe,VANMEM,3,172,46,126,2001,2003,True
brown|03|05|VANMEM,H. Brown,VANMEM,3,168,83,85,2003,2005,False
hollins|05|05|VANMEM,L. Hollins,VANMEM,1,4,0,4,2005,2005,False
fratello|05|07|VANMEM,M. Fratello,VANMEM,3,178,95,83,2005,2007,False
barone|07|07|VANMEM,T. Barone,VANMEM,1,52,16,36,2007,2007,False
iavaroni|08|09|VANMEM,M. Iavaroni,VANMEM,2,123,33,90,2008,2009,False
davis|09|09|VANMEM,J. Davis,VANMEM,1,2,0,2,2009,2009,False
hollins|09|13|VANMEM,L. Hollins,VANMEM,5,351,196,155,2009,2013,False
joerger|14|16|VANMEM,D. Joerger,VANMEM,3,246,147,99,2014,2016,False
hamilton|01|01|WAS,L. Hamilton,WAS,1,82,19,63,2001,2001,True
collins|02|03|WAS,D. Collins,WAS,2,164,74,90,2002,2003,False
jordan|04|09|WAS,E. Jordan,WAS,6,421,197,224,2004,2009,False
tapscott|09|09|WAS,E. Tapscott,WAS,1,71,18,53,2009,2009,False
saunders|10|12|WAS,F. Saunders,WAS,3,181,51,130,2010,2012,False
wittman|12|16|WAS,R. Wittman,WAS,5,377,178,199,2012,2016,False
